T1P1T06_hyoid_data.tx,T1P1T06_hyoid_data.ty,T1P1T06_hyoid_data.tz,T1P1T06_hyoid_data.rx,T1P1T06_hyoid_data.ry,T1P1T06_hyoid_data.rz
1.906037483,-0.8813180266,-1.696530216,-30.04479935,-27.67719359,22.00058725
1.906229672,-0.8810806485,-1.697201875,-30.03845941,-27.6871992,22.00041012
1.906454432,-0.880802628,-1.697987361,-30.03101756,-27.69890889,22.00016291
1.90671103,-0.8804847414,-1.698884116,-30.02248944,-27.71228715,21.99983395
1.906998734,-0.8801277652,-1.69988958,-30.01289073,-27.72729846,21.99941156
1.907316813,-0.8797324755,-1.701001197,-30.00223709,-27.74390734,21.99888407
1.907664535,-0.8792996489,-1.702216409,-29.99054418,-27.76207825,21.99823978
1.908041168,-0.8788300616,-1.703532658,-29.97782766,-27.78177571,21.99746702
1.908445979,-0.87832449,-1.704947385,-29.96410321,-27.80296421,21.99655411
1.908878237,-0.8777837105,-1.706458033,-29.94938649,-27.82560823,21.99548938
1.90933721,-0.8772084994,-1.708062044,-29.93369315,-27.84967227,21.99426115
1.909822167,-0.876599633,-1.709756861,-29.91703887,-27.87512083,21.99285772
1.910332374,-0.8759578877,-1.711539925,-29.89943931,-27.90191839,21.99126744
1.910867101,-0.8752840398,-1.713408678,-29.88091014,-27.93002945,21.98947861
1.911425615,-0.8745788657,-1.715360562,-29.86146701,-27.95941851,21.98747957
1.912007184,-0.8738431418,-1.71739302,-29.84112559,-27.99005005,21.98525862
1.912611077,-0.8730776444,-1.719503494,-29.81990155,-28.02188857,21.98280409
1.913236561,-0.8722831498,-1.721689426,-29.79781056,-28.05489857,21.98010431
1.913882905,-0.8714604345,-1.723948258,-29.77486826,-28.08904454,21.97714759
1.914549377,-0.8706102746,-1.726277431,-29.75109034,-28.12429096,21.97392225
1.915235245,-0.8697334467,-1.728674389,-29.72649245,-28.16060234,21.97041661
1.915939776,-0.868830727,-1.731136573,-29.70109026,-28.19794316,21.96661901
1.91666224,-0.8679028919,-1.733661425,-29.67489944,-28.23627792,21.96251775
1.917401903,-0.8669507177,-1.736246388,-29.64793564,-28.27557112,21.95810116
1.918158035,-0.8659749808,-1.738888903,-29.62021453,-28.31578724,21.95335756
1.918929903,-0.8649764576,-1.741586413,-29.59175178,-28.35689078,21.94827526
1.919716775,-0.8639559244,-1.74433636,-29.56256305,-28.39884624,21.9428426
1.92051792,-0.8629141575,-1.747136186,-29.53266401,-28.4416181,21.9370479
1.921332605,-0.8618519333,-1.749983333,-29.50207031,-28.48517086,21.93087946
1.922160098,-0.8607700281,-1.752875242,-29.47079763,-28.52946901,21.92432562
1.922999669,-0.8596692184,-1.755809357,-29.43886162,-28.57447705,21.9173747
1.923850584,-0.8585502803,-1.75878312,-29.40627796,-28.62015947,21.91001501
1.924712111,-0.8574139904,-1.761793972,-29.37306231,-28.66648076,21.90223488
1.92558352,-0.8562611249,-1.764839355,-29.33923032,-28.71340541,21.89402263
1.926464078,-0.8550924602,-1.767916712,-29.30479767,-28.76089793,21.88536658
1.927353052,-0.8539087726,-1.771023485,-29.26978002,-28.8089228,21.87625505
1.928249712,-0.8527108386,-1.774157115,-29.23419304,-28.85744451,21.86667636
1.929153325,-0.8514994343,-1.777315046,-29.19805238,-28.90642756,21.85661883
1.93006316,-0.8502753363,-1.780494718,-29.16137372,-28.95583644,21.84607079
1.930978483,-0.8490393208,-1.783693575,-29.12417272,-29.00563565,21.83502055
1.931898564,-0.8477921642,-1.786909058,-29.08646503,-29.05578967,21.82345644
1.932822671,-0.8465346428,-1.79013861,-29.04826633,-29.10626301,21.81136678
1.933750072,-0.845267533,-1.793379672,-29.00959229,-29.15702016,21.79873988
1.934680034,-0.8439916112,-1.796629687,-28.97045855,-29.2080256,21.78556407
1.935611825,-0.8427076536,-1.799886096,-28.9308808,-29.25924383,21.77182768
1.936544715,-0.8414164367,-1.803146342,-28.89087469,-29.31063935,21.75751901
1.937477971,-0.8401187368,-1.806407867,-28.85045589,-29.36217664,21.7426264
1.938410861,-0.8388153302,-1.809668114,-28.80964006,-29.41382021,21.72713816
1.939342652,-0.8375069933,-1.812924523,-28.76844287,-29.46553454,21.71104261
1.940272614,-0.8361945024,-1.816174538,-28.72687998,-29.51728413,21.69432808
1.941200015,-0.8348786339,-1.8194156,-28.68496705,-29.56903347,21.67698289
1.942124122,-0.8335601642,-1.822645151,-28.64271976,-29.62074705,21.65899535
1.943044203,-0.8322398695,-1.825860634,-28.60015375,-29.67238937,21.6403538
1.943959526,-0.8309185263,-1.829059491,-28.55728471,-29.72392493,21.62104654
1.944869361,-0.8295969109,-1.832239164,-28.51412829,-29.7753182,21.6010619
1.945772974,-0.8282757996,-1.835397094,-28.47070016,-29.8265337,21.58038821
1.946669634,-0.8269559688,-1.838530725,-28.42701598,-29.8775359,21.55901377
1.947558608,-0.8256381948,-1.841637498,-28.38309141,-29.92828931,21.53692692
1.948439166,-0.824323254,-1.844714855,-28.33894213,-29.97875842,21.51411598
1.949310575,-0.8230119227,-1.847760238,-28.29458379,-30.02890771,21.49056926
1.950172102,-0.8217049774,-1.85077109,-28.25003206,-30.07870169,21.46627509
1.951023017,-0.8204031942,-1.853744852,-28.2053026,-30.12810485,21.44122179
1.951862588,-0.8191073497,-1.856678967,-28.16041108,-30.17708168,21.41539767
1.952690081,-0.81781822,-1.859570877,-28.11537316,-30.22559667,21.38879107
1.953504766,-0.8165365817,-1.862418023,-28.07020451,-30.27361431,21.3613903
1.954305911,-0.815263211,-1.865217849,-28.02492079,-30.32109911,21.33318367
1.955092783,-0.8139988843,-1.867967796,-27.97953767,-30.36801555,21.30415953
1.955864651,-0.8127443779,-1.870665306,-27.9340708,-30.41432813,21.27430617
1.956620783,-0.8115004682,-1.873307821,-27.88853586,-30.46000133,21.24361194
1.957360446,-0.8102679316,-1.875892784,-27.84294851,-30.50499966,21.21206513
1.95808291,-0.8090475443,-1.878417637,-27.79732441,-30.54928761,21.17965409
1.958787441,-0.8078400827,-1.880879821,-27.75167923,-30.59282966,21.14636712
1.959473309,-0.8066463232,-1.883276778,-27.70602863,-30.63559032,21.11219256
1.960139781,-0.8054670422,-1.885605952,-27.66038828,-30.67753408,21.07711871
1.960786125,-0.804303016,-1.887864784,-27.61477384,-30.71862542,21.04113391
1.961411609,-0.8031550208,-1.890050715,-27.56920097,-30.75882885,21.00422646
1.962015502,-0.8020238332,-1.892161189,-27.52368534,-30.79810885,20.96638471
1.962597071,-0.8009102294,-1.894193647,-27.47824261,-30.83642992,20.92759695
1.963155585,-0.7998149857,-1.896145532,-27.43288845,-30.87375655,20.88785153
1.963690312,-0.7987388786,-1.898014285,-27.38763853,-30.91005324,20.84713674
1.964200519,-0.7976826844,-1.899797349,-27.3425085,-30.94528448,20.80544093
1.964685476,-0.7966471794,-1.901492165,-27.29751403,-30.97941476,20.76275241
1.965144449,-0.79563314,-1.903096176,-27.25267079,-31.01240857,20.71905949
1.965576707,-0.7946413425,-1.904606825,-27.20799444,-31.04423042,20.67435051
1.965981518,-0.7936725634,-1.906021552,-27.16350064,-31.07484478,20.62861378
1.966358151,-0.7927275788,-1.9073378,-27.11920506,-31.10421616,20.58183762
1.966705873,-0.7918071652,-1.908553012,-27.07512336,-31.13230905,20.53401036
1.967023952,-0.7909120989,-1.909664629,-27.03127121,-31.15908795,20.48512031
1.967311656,-0.7900431563,-1.910670094,-26.98766427,-31.18451733,20.43515579
1.967568254,-0.7892011138,-1.911566848,-26.94431821,-31.20856171,20.38410514
1.967793014,-0.7883867476,-1.912352334,-26.90124868,-31.23118556,20.33195666
