ope_tip_data.tx,ope_tip_data.ty,ope_tip_data.tz,hyoid_tip_data.tx,hyoid_tip_data.ty,hyoid_tip_data.tz,lower_jaw_tip_data.tx,lower_jaw_tip_data.ty,lower_jaw_tip_data.tz,upper_jaw_tip_data.tx,upper_jaw_tip_data.ty,upper_jaw_tip_data.tz
-1.951594163,-0.4352439168,-2.688034956,3.662592701,0.0797920611,-0.4331276211,5.282086497,1.658896018,-0.01561596293,5.183060052,2.176466994,-0.07740426846
-1.950166236,-0.4341954363,-2.690908482,3.663399871,0.07860390283,-0.4324119996,5.278416293,1.664164652,-0.0157470689,5.183250492,2.173329312,-0.07773981971
-1.948727281,-0.4331349695,-2.693821084,3.664234643,0.07737054275,-0.4316893698,5.274687083,1.669484883,-0.01587794101,5.183449183,2.170122816,-0.07807408877
-1.947278939,-0.4320630481,-2.696771492,3.665096134,0.07609287533,-0.4309620678,5.270908551,1.674839512,-0.01600826166,5.183657559,2.166854363,-0.07840631255
-1.945822853,-0.4309802042,-2.699758433,3.665983461,0.07477179508,-0.4302324298,5.267090381,1.68021134,-0.01613771327,5.183877057,2.163530809,-0.07873572793
-1.944360665,-0.4298869696,-2.702780637,3.666895739,0.0734081965,-0.4295027918,5.263242254,1.685583168,-0.01626597826,5.184109113,2.160159012,-0.07906157181
-1.942894016,-0.4287838761,-2.705836832,3.667832084,0.07200297408,-0.4287754898,5.259373854,1.690937798,-0.01639273904,5.184355163,2.156745828,-0.0793830811
-1.941424549,-0.4276714557,-2.708925746,3.668791614,0.07055702231,-0.42805286,5.255494865,1.696258029,-0.01651767802,5.184616643,2.153298114,-0.0796994927
-1.939953904,-0.4265502402,-2.712046108,3.669773444,0.0690712357,-0.4273372385,5.251614968,1.701526663,-0.01664047761,5.184894989,2.149822726,-0.08001004349
-1.938483725,-0.4254207615,-2.715196648,3.670776691,0.06754650873,-0.4266309613,5.247743848,1.7067265,-0.01676082024,5.185191638,2.146326522,-0.08031397037
-1.937015652,-0.4242835514,-2.718376092,3.67180047,0.06598373592,-0.4259363646,5.243891187,1.711840343,-0.01687838832,5.185508024,2.142816357,-0.08061051025
-1.935551328,-0.4231391419,-2.721583171,3.672843899,0.06438381174,-0.4252557844,5.240066668,1.716850992,-0.01699286426,5.185845585,2.13929909,-0.08089890003
-1.934092394,-0.4219880648,-2.724816613,3.673906093,0.0627476307,-0.4245915568,5.236279975,1.721741247,-0.01710393046,5.186205756,2.135781575,-0.08117837659
-1.932640492,-0.4208308519,-2.728075146,3.674986169,0.0610760873,-0.4239460179,5.23254079,1.726493911,-0.01721126936,5.186589974,2.132270671,-0.08144817684
-1.931197265,-0.4196680352,-2.731357499,3.676083242,0.05937007603,-0.4233215038,5.228858797,1.731091783,-0.01731456336,5.186999674,2.128773234,-0.08170753768
-1.929764354,-0.4185001466,-2.734662401,3.67719643,0.05763049139,-0.4227203506,5.225243678,1.735517665,-0.01741349487,5.187436293,2.125296121,-0.081955696
-1.9283434,-0.4173277179,-2.73798858,3.678324849,0.05585822787,-0.4221448943,5.221705116,1.739754357,-0.01750774632,5.187901266,2.121846188,-0.0821918887
-1.926936046,-0.4161512809,-2.741334764,3.679467614,0.05405417997,-0.4215974711,5.218252795,1.743784662,-0.0175970001,5.18839603,2.118430292,-0.08241535267
-1.925543934,-0.4149713677,-2.744699683,3.680623843,0.05221924219,-0.4210804171,5.214896398,1.747591379,-0.01768093865,5.188922021,2.11505529,-0.08262532483
